timestamp,attack_neptune,attack_normal,attack_satan,count,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_srv_count,flag_S0,flag_SF,last_flag,logged_in,same_srv_rate,serror_rate,service_http,src_ip,dst_ip,protocol,src_port,dst_port,length
2024-11-07 18:17:40.733567,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,52.168.117.169,192.168.29.212,6.0,443.0,51729.0,4434
2024-11-07 18:17:40.735072,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,52.168.117.169,192.168.29.212,6.0,443.0,51729.0,204
2024-11-07 18:17:40.735072,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,1,192.168.29.212,52.168.117.169,6.0,51729.0,443.0,54
2024-11-07 18:17:40.736110,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,1,192.168.29.212,52.168.117.169,6.0,51729.0,443.0,1494
2024-11-07 18:17:40.975717,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,52.168.117.169,6.0,51729.0,443.0,450
2024-11-07 18:17:40.975717,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,52.168.117.169,192.168.29.212,6.0,443.0,51729.0,54
2024-11-07 18:17:40.990842,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,52.168.117.169,192.168.29.212,6.0,443.0,51729.0,157
2024-11-07 18:17:40.990842,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51725.0,78
2024-11-07 18:17:41.020908,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,35.201.127.49,6.0,51725.0,443.0,82
2024-11-07 18:17:41.021914,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,1,192.168.29.212,52.168.117.169,6.0,51729.0,443.0,54
2024-11-07 18:17:41.258830,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51725.0,54
2024-11-07 18:17:41.258830,0,1,0,1,0.0,0.0,0.0,0,0,0,FPA,0,0.0,0.0,0,52.168.117.169,192.168.29.212,6.0,443.0,51729.0,519
2024-11-07 18:17:41.258830,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,1,192.168.29.212,52.168.117.169,6.0,51729.0,443.0,54
2024-11-07 18:17:41.259859,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,52.168.117.169,6.0,51729.0,443.0,78
2024-11-07 18:17:41.259859,0,1,0,1,0.0,0.0,0.0,0,0,0,FA,0,0.0,0.0,1,192.168.29.212,52.168.117.169,6.0,51729.0,443.0,54
2024-11-07 18:17:41.260829,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,52.168.117.169,192.168.29.212,6.0,443.0,51729.0,54
2024-11-07 18:17:41.541473,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51724.0,78
2024-11-07 18:17:41.541473,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,35.201.127.49,6.0,51724.0,443.0,82
2024-11-07 18:17:41.556513,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,51408.0,443.0,91
2024-11-07 18:17:41.574543,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51724.0,54
2024-11-07 18:17:41.589105,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,443.0,51408.0,87
2024-11-07 18:17:41.980297,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51725.0,78
2024-11-07 18:17:41.981393,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,35.201.127.49,6.0,51725.0,443.0,82
2024-11-07 18:17:41.996372,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51725.0,54
2024-11-07 18:17:42.893265,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51724.0,78
2024-11-07 18:17:42.921295,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,35.201.127.49,6.0,51724.0,443.0,82
2024-11-07 18:17:42.921295,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51724.0,54
2024-11-07 18:17:42.979888,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51725.0,78
2024-11-07 18:17:42.981087,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,35.201.127.49,6.0,51725.0,443.0,82
2024-11-07 18:17:43.001105,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51725.0,54
2024-11-07 18:17:43.282610,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,62750.0,53.0,97
2024-11-07 18:17:43.283611,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,57680.0,53.0,97
2024-11-07 18:17:43.294607,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,63964.0,53.0,97
2024-11-07 18:17:43.295610,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,34.209.83.244,6.0,51538.0,443.0,159
2024-11-07 18:17:43.296611,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,34.209.83.244,6.0,51538.0,443.0,93
2024-11-07 18:17:43.296611,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,34.209.83.244,6.0,51538.0,443.0,357
2024-11-07 18:17:43.297608,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,53.0,62750.0,232
2024-11-07 18:17:43.539770,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,53.0,57680.0,202
2024-11-07 18:17:43.540798,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,53.0,63964.0,232
2024-11-07 18:17:43.541799,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51724.0,78
2024-11-07 18:17:43.561808,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,35.201.127.49,6.0,51724.0,443.0,82
2024-11-07 18:17:43.562813,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51724.0,54
2024-11-07 18:17:43.582038,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,34.209.83.244,192.168.29.212,6.0,443.0,51538.0,93
2024-11-07 18:17:43.596039,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,34.209.83.244,192.168.29.212,6.0,443.0,51538.0,405
2024-11-07 18:17:43.597020,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,34.209.83.244,192.168.29.212,6.0,443.0,51538.0,85
2024-11-07 18:17:43.598010,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,1,192.168.29.212,34.209.83.244,6.0,51538.0,443.0,54
2024-11-07 18:17:43.658652,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,34.209.83.244,6.0,51538.0,443.0,89
2024-11-07 18:17:43.658652,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,192.168.29.212,224.0.0.22,2.0,,,54
2024-11-07 18:17:43.836450,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,,,142
2024-11-07 18:17:43.936841,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,34.209.83.244,192.168.29.212,6.0,443.0,51538.0,54
2024-11-07 18:17:43.960350,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,443.0,55087.0,101
2024-11-07 18:17:43.965381,0,1,0,1,0.0,0.0,0.0,0,0,0,,0,0.0,0.0,0,,,,55087.0,443.0,95
2024-11-07 18:17:43.991612,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51725.0,78
2024-11-07 18:17:44.022624,0,1,0,1,0.0,0.0,0.0,0,0,0,PA,0,0.0,0.0,1,192.168.29.212,35.201.127.49,6.0,51725.0,443.0,82
2024-11-07 18:17:44.023659,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,35.201.127.49,192.168.29.212,6.0,443.0,51725.0,54
2024-11-07 18:17:44.205338,0,1,0,1,0.0,0.0,0.0,0,0,0,A,0,0.0,0.0,0,,,,443.0,50558.0,74
